inning,team,retroID,count,pitches,play
2,0,myerw001,32,BBBCCS,K
2,0,mejif001,31,BBBCX,3/P3F
3,0,garcg002,32,BBBCFB,W
7,0,hosme001,31,BBBFB,W
2,0,tatif002,32,BBBFSC,K
8,0,hosme001,31,BBBS*B,W.2-3;1-2
9,0,kinsi001,30,BBBX,4/P
1,0,bryak001,32,BBBCFX,63/G
4,1,diaze005,30,BBBB,W.2-3;1-2
8,0,schwk001,31,BBBCX,46(1)3/GDP
2,1,newmk001,32,BBBCFX,9/L
4,0,contw001,32,BBBCSFB,W
5,0,bryak001,32,BBBCCX,D7/F+
1,1,reynb001,32,BBBCFS,K
1,1,marts002,32,BBBFCFB,W
2,0,salat001,31,BBBC1X,8/L
5,0,arcio002,30,BBBB,W
1,1,bellj005,32,BBBFCFFB,W
2,0,aguij001,32,BBBCFFX,3/P
4,0,hernc005,32,BBBCSFX,FC1/G.2X3(156)
8,0,franm004,30,BBBB,W
1,1,reynb001,32,BBBCFS,K
2,0,dejop001,31,BBBCX,63/G
3,1,marts002,31,BBBCX,S7/G
4,1,fraza001,32,BBBCFB,W
7,1,reynb001,31,BBBCX,43/G
10,0,shrec001,32,BBBCCB,W.2-3;1-2
10,1,newmk001,31,BBBCX,E6/FO/G.1-2
1,0,edmat001,30,BBBB,W
1,1,dickc002,32,BBBC1CB,W.1-2
3,0,kniza001,30,BBBB,W
3,0,fowld001,32,BBBCTFFX,8/L
4,0,wongk001,30,BBBB,W
2,1,bellj005,31,BBBFB,W
3,0,alonp001,31,BBBCB,W
6,1,cabrm002,32,BBBCCX,6/P
8,1,diaze005,31,BBBCB,W
9,0,confm001,31,BBBCX,7/F+
1,1,reynb001,32,BBBCFX,S8/L.1-3
1,1,bellj005,31,BBBFX,S9/G.2-3;1-2
2,0,rosaa003,31,BBBCB,W
2,1,bellj005,32,BBBSCX,8/L
6,1,reynb001,32,BBBCFB,W
2,1,newmk001,31,BBBCB,W
1,0,grist001,31,BBBCX,9/F
1,1,fraza001,30,BBBB,W
2,0,cainl001,30,BBBB,W
3,0,grany001,31,BBBCB,W
